ArrayType,SortType,Size,Time
Random,Standard Merge Sort,500,288
Random,Standard Merge Sort,600,360
Random,Standard Merge Sort,700,499
Random,Standard Merge Sort,800,578
Random,Standard Merge Sort,900,670
Random,Standard Merge Sort,1000,728
Random,Standard Merge Sort,1100,813
Random,Standard Merge Sort,1200,899
Random,Standard Merge Sort,1300,961
Random,Standard Merge Sort,1400,1042
Random,Standard Merge Sort,1500,1120
Random,Standard Merge Sort,1600,1203
Random,Standard Merge Sort,1700,1266
Random,Standard Merge Sort,1800,1229
Random,Standard Merge Sort,1900,1298
Random,Standard Merge Sort,2000,1366
Random,Standard Merge Sort,2100,1447
Random,Standard Merge Sort,2200,1519
Random,Standard Merge Sort,2300,1525
Random,Standard Merge Sort,2400,1534
Random,Standard Merge Sort,2500,1590
Random,Standard Merge Sort,2600,1656
Random,Standard Merge Sort,2700,1725
Random,Standard Merge Sort,2800,1694
Random,Standard Merge Sort,2900,1713
Random,Standard Merge Sort,3000,1774
Random,Standard Merge Sort,3100,1796
Random,Standard Merge Sort,3200,1787
Random,Standard Merge Sort,3300,1849
Random,Standard Merge Sort,3400,1911
Random,Standard Merge Sort,3500,1970
Random,Standard Merge Sort,3600,2034
Random,Standard Merge Sort,3700,2055
Random,Standard Merge Sort,3800,1992
Random,Standard Merge Sort,3900,2051
Random,Standard Merge Sort,4000,2096
Random,Standard Merge Sort,4100,2141
Random,Standard Merge Sort,4200,2218
Random,Standard Merge Sort,4300,2228
Random,Standard Merge Sort,4400,2255
Random,Standard Merge Sort,4500,2312
Random,Standard Merge Sort,4600,2336
Random,Standard Merge Sort,4700,2383
Random,Standard Merge Sort,4800,2440
Random,Standard Merge Sort,4900,2492
Random,Standard Merge Sort,5000,2550
Random,Standard Merge Sort,5100,2589
Random,Standard Merge Sort,5200,2639
Random,Standard Merge Sort,5300,2691
Random,Standard Merge Sort,5400,2755
Random,Standard Merge Sort,5500,2805
Random,Standard Merge Sort,5600,2852
Random,Standard Merge Sort,5700,2911
Random,Standard Merge Sort,5800,2963
Random,Standard Merge Sort,5900,3012
Random,Standard Merge Sort,6000,3064
Random,Standard Merge Sort,6100,3119
Random,Standard Merge Sort,6200,3175
Random,Standard Merge Sort,6300,3234
Random,Standard Merge Sort,6400,3300
Random,Standard Merge Sort,6500,3356
Random,Standard Merge Sort,6600,3407
Random,Standard Merge Sort,6700,3471
Random,Standard Merge Sort,6800,3523
Random,Standard Merge Sort,6900,3581
Random,Standard Merge Sort,7000,3632
Random,Standard Merge Sort,7100,3691
Random,Standard Merge Sort,7200,3751
Random,Standard Merge Sort,7300,3808
Random,Standard Merge Sort,7400,3852
Random,Standard Merge Sort,7500,3913
Random,Standard Merge Sort,7600,4489
Random,Standard Merge Sort,7700,4073
Random,Standard Merge Sort,7800,4098
Random,Standard Merge Sort,7900,4142
Random,Standard Merge Sort,8000,4202
Random,Standard Merge Sort,8100,4242
Random,Standard Merge Sort,8200,4292
Random,Standard Merge Sort,8300,4360
Random,Standard Merge Sort,8400,4424
Random,Standard Merge Sort,8500,4480
Random,Standard Merge Sort,8600,4537
Random,Standard Merge Sort,8700,4675
Random,Standard Merge Sort,8800,4815
Random,Standard Merge Sort,8900,4797
Random,Standard Merge Sort,9000,4846
Random,Standard Merge Sort,9100,4936
Random,Standard Merge Sort,9200,5047
Random,Standard Merge Sort,9300,5017
Random,Standard Merge Sort,9400,5126
Random,Standard Merge Sort,9500,5159
Random,Standard Merge Sort,9600,5217
Random,Standard Merge Sort,9700,5244
Random,Standard Merge Sort,9800,5337
Random,Standard Merge Sort,9900,5330
Random,Hybrid Merge Sort,500,101
Random,Hybrid Merge Sort,600,116
Random,Hybrid Merge Sort,700,136
Random,Hybrid Merge Sort,800,155
Random,Hybrid Merge Sort,900,171
Random,Hybrid Merge Sort,1000,208
Random,Hybrid Merge Sort,1100,247
Random,Hybrid Merge Sort,1200,285
Random,Hybrid Merge Sort,1300,289
Random,Hybrid Merge Sort,1400,334
Random,Hybrid Merge Sort,1500,330
Random,Hybrid Merge Sort,1600,343
Random,Hybrid Merge Sort,1700,363
Random,Hybrid Merge Sort,1800,384
Random,Hybrid Merge Sort,1900,403
Random,Hybrid Merge Sort,2000,463
Random,Hybrid Merge Sort,2100,504
Random,Hybrid Merge Sort,2200,591
