ArrayType,SortType,Size,Time
Random,Standard Merge Sort,500,241
Random,Standard Merge Sort,600,288
Random,Standard Merge Sort,700,328
Random,Standard Merge Sort,800,388
Random,Standard Merge Sort,900,432
Random,Standard Merge Sort,1000,473
Random,Standard Merge Sort,1100,553
Random,Standard Merge Sort,1200,589
Random,Standard Merge Sort,1300,643
Random,Standard Merge Sort,1400,710
Random,Standard Merge Sort,1500,760
Random,Standard Merge Sort,1600,805
Random,Standard Merge Sort,1700,843
Random,Standard Merge Sort,1800,935
Random,Standard Merge Sort,1900,1006
Random,Standard Merge Sort,2000,1019
Random,Standard Merge Sort,2100,1083
Random,Standard Merge Sort,2200,1263
Random,Standard Merge Sort,2300,1278
Random,Standard Merge Sort,2400,1297
Random,Standard Merge Sort,2500,1415
Random,Standard Merge Sort,2600,1359
Random,Standard Merge Sort,2700,1543
Random,Standard Merge Sort,2800,1620
Random,Standard Merge Sort,2900,1662
Random,Standard Merge Sort,3000,1640
Random,Standard Merge Sort,3100,1691
Random,Standard Merge Sort,3200,1697
Random,Standard Merge Sort,3300,1730
Random,Standard Merge Sort,3400,1791
Random,Standard Merge Sort,3500,1861
Random,Standard Merge Sort,3600,1941
Random,Standard Merge Sort,3700,1963
Random,Standard Merge Sort,3800,1973
Random,Standard Merge Sort,3900,2124
Random,Standard Merge Sort,4000,2190
Random,Standard Merge Sort,4100,2216
Random,Standard Merge Sort,4200,2259
Random,Standard Merge Sort,4300,2306
Random,Standard Merge Sort,4400,2325
Random,Standard Merge Sort,4500,2462
Random,Standard Merge Sort,4600,2427
Random,Standard Merge Sort,4700,2557
Random,Standard Merge Sort,4800,2523
Random,Standard Merge Sort,4900,2665
Random,Standard Merge Sort,5000,2568
Random,Standard Merge Sort,5100,2562
Random,Standard Merge Sort,5200,2596
Random,Standard Merge Sort,5300,2717
Random,Standard Merge Sort,5400,2733
Random,Standard Merge Sort,5500,2810
Random,Standard Merge Sort,5600,2935
Random,Standard Merge Sort,5700,2880
Random,Standard Merge Sort,5800,3089
Random,Standard Merge Sort,5900,3239
Random,Standard Merge Sort,6000,3260
Random,Standard Merge Sort,6100,3344
Random,Standard Merge Sort,6200,3354
Random,Standard Merge Sort,6300,3224
Random,Standard Merge Sort,6400,3307
Random,Standard Merge Sort,6500,3387
Random,Standard Merge Sort,6600,3464
Random,Standard Merge Sort,6700,3504
Random,Standard Merge Sort,6800,3550
Random,Standard Merge Sort,6900,3598
Random,Standard Merge Sort,7000,3658
Random,Standard Merge Sort,7100,3716
Random,Standard Merge Sort,7200,3797
Random,Standard Merge Sort,7300,3823
Random,Standard Merge Sort,7400,3876
Random,Standard Merge Sort,7500,3926
Random,Standard Merge Sort,7600,3972
Random,Standard Merge Sort,7700,4041
Random,Standard Merge Sort,7800,4091
Random,Standard Merge Sort,7900,4153
Random,Standard Merge Sort,8000,4198
Random,Standard Merge Sort,8100,4260
Random,Standard Merge Sort,8200,4296
Random,Standard Merge Sort,8300,4378
Random,Standard Merge Sort,8400,4575
Random,Standard Merge Sort,8500,4444
Random,Standard Merge Sort,8600,4461
Random,Standard Merge Sort,8700,4562
Random,Standard Merge Sort,8800,4556
Random,Standard Merge Sort,8900,4787
Random,Standard Merge Sort,9000,4730
Random,Standard Merge Sort,9100,4806
Random,Standard Merge Sort,9200,5164
Random,Standard Merge Sort,9300,5053
Random,Standard Merge Sort,9400,5139
Random,Standard Merge Sort,9500,5281
Random,Standard Merge Sort,9600,5126
Random,Standard Merge Sort,9700,5710
Random,Standard Merge Sort,9800,5418
Random,Standard Merge Sort,9900,5335
Random,Hybrid Merge Sort,500,94
Random,Hybrid Merge Sort,600,115
Random,Hybrid Merge Sort,700,134
Random,Hybrid Merge Sort,800,151
Random,Hybrid Merge Sort,900,176
Random,Hybrid Merge Sort,1000,215
Random,Hybrid Merge Sort,1100,250
Random,Hybrid Merge Sort,1200,365
Random,Hybrid Merge Sort,1300,288
Random,Hybrid Merge Sort,1400,297
Random,Hybrid Merge Sort,1500,312
Random,Hybrid Merge Sort,1600,333
Random,Hybrid Merge Sort,1700,372
Random,Hybrid Merge Sort,1800,397
Random,Hybrid Merge Sort,1900,389
Random,Hybrid Merge Sort,2000,450
Random,Hybrid Merge Sort,2100,515
Random,Hybrid Merge Sort,2200,556
Random,Hybrid Merge Sort,2300,571
Random,Hybrid Merge Sort,2400,576
Random,Hybrid Merge Sort,2500,611
Random,Hybrid Merge Sort,2600,645
Random,Hybrid Merge Sort,2700,698
Random,Hybrid Merge Sort,2800,715
Random,Hybrid Merge Sort,2900,708
Random,Hybrid Merge Sort,3000,725
Random,Hybrid Merge Sort,3100,726
Random,Hybrid Merge Sort,3200,746
Random,Hybrid Merge Sort,3300,844
Random,Hybrid Merge Sort,3400,829
Random,Hybrid Merge Sort,3500,813
Random,Hybrid Merge Sort,3600,880
Random,Hybrid Merge Sort,3700,859
Random,Hybrid Merge Sort,3800,933
Random,Hybrid Merge Sort,3900,967
Random,Hybrid Merge Sort,4000,995
Random,Hybrid Merge Sort,4100,1062
Random,Hybrid Merge Sort,4200,1198
Random,Hybrid Merge Sort,4300,1125
Random,Hybrid Merge Sort,4400,1193
Random,Hybrid Merge Sort,4500,1229
Random,Hybrid Merge Sort,4600,1231
Random,Hybrid Merge Sort,4700,1211
Random,Hybrid Merge Sort,4800,1284
Random,Hybrid Merge Sort,4900,1313
Random,Hybrid Merge Sort,5000,1339
Random,Hybrid Merge Sort,5100,1413
Random,Hybrid Merge Sort,5200,1379
Random,Hybrid Merge Sort,5300,1371
Random,Hybrid Merge Sort,5400,1457
Random,Hybrid Merge Sort,5500,1442
Random,Hybrid Merge Sort,5600,1497
Random,Hybrid Merge Sort,5700,1530
Random,Hybrid Merge Sort,5800,1549
Random,Hybrid Merge Sort,5900,1565
Random,Hybrid Merge Sort,6000,1541
Random,Hybrid Merge Sort,6100,1594
Random,Hybrid Merge Sort,6200,1666
Random,Hybrid Merge Sort,6300,1627
Random,Hybrid Merge Sort,6400,1717
Random,Hybrid Merge Sort,6500,1650
Random,Hybrid Merge Sort,6600,1717
Random,Hybrid Merge Sort,6700,1874
Random,Hybrid Merge Sort,6800,1774
Random,Hybrid Merge Sort,6900,1761
Random,Hybrid Merge Sort,7000,1791
Random,Hybrid Merge Sort,7100,1957
Random,Hybrid Merge Sort,7200,1965
Random,Hybrid Merge Sort,7300,1913
Random,Hybrid Merge Sort,7400,1878
